ChemblD;Name
CHEMBL4247;ALK
CHEMBL5627;LTK
CHEMBL4895;Axl
CHEMBL5331;Mer
CHEMBL5314;Tyro3
CHEMBL5319;DDR1
CHEMBL5122;DDR2
CHEMBL203;Erbb1
CHEMBL1824;Erbb2
CHEMBL5838;Erbb3
CHEMBL3009;Erbb4
CHEMBL3650;FGFR1
CHEMBL4142;FGFR2
CHEMBL2742;FGFR3
CHEMBL3973;FGFR4
CHEMBL1981;INSR
CHEMBL1957;IGF1R
CHEMBL3717;MET
CHEMBL1844;CSF-1R
CHEMBL1974;FLT3
CHEMBL2007;PDGFAlpha
CHEMBL1913;PDGFBeta
CHEMBL1862;PTK7
CHEMBL2041;RET
CHEMBL2375201;Ror2
CHEMBL5568;ROS1
CHEMBL2815;NTRK1
CHEMBL4898;NTRK2
CHEMBL5608;NTRK3
CHEMBL1868;VEGFR1
CHEMBL279;VEGFR2
CHEMBL1955;VEGFR3
