Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,ChemblID
Random Forest Classifier,0.8444,0.9197,0.7593,0.7009,0.7289,0.62,0.621,CHEMBL4247
Random Forest Classifier,1.0,0.0,0.0,0.0,0.0,,0.0,CHEMBL5627
Random Forest Classifier,0.918,0.7621,0.0909,1.0,0.1667,0.154,0.2888,CHEMBL4895
Random Forest Classifier,0.8594,0.8229,0.6875,0.7333,0.7097,0.617,0.6176,CHEMBL5331
Random Forest Classifier,0.9315,0.7692,0.375,1.0,0.5455,0.5166,0.5901,CHEMBL5314
Random Forest Classifier,0.8222,0.6944,0.3333,0.3333,0.3333,0.2308,0.2308,CHEMBL5319
Random Forest Classifier,0.8846,0.8896,0.6667,0.8,0.7273,0.6549,0.6592,CHEMBL5122
Random Forest Classifier,0.9071,0.9361,0.5573,0.7526,0.6404,0.5884,0.5972,CHEMBL203
Random Forest Classifier,0.9243,0.9388,0.3404,0.6667,0.4507,0.4146,0.4417,CHEMBL1824
Random Forest Classifier,0.9091,0.9167,0.6667,1.0,0.8,0.7442,0.7698,CHEMBL5838
Random Forest Classifier,0.7843,0.8648,0.4667,0.7,0.56,0.4246,0.4399,CHEMBL3009
Random Forest Classifier,0.8723,0.9438,0.7572,0.8188,0.7868,0.6958,0.6969,CHEMBL3650
Random Forest Classifier,0.8145,0.9092,0.8224,0.8,0.8111,0.6289,0.6291,CHEMBL4142
Random Forest Classifier,0.8539,0.8894,0.5385,0.8235,0.6512,0.5638,0.5842,CHEMBL2742
Random Forest Classifier,0.8403,0.8773,0.5676,0.875,0.6885,0.5876,0.6125,CHEMBL3973
Random Forest Classifier,0.9887,0.9947,0.25,1.0,0.4,0.3964,0.4972,CHEMBL1981
Random Forest Classifier,0.9094,0.9515,0.7797,0.7731,0.7764,0.7196,0.7196,CHEMBL1957
Random Forest Classifier,0.8742,0.9112,0.622,0.7612,0.6846,0.607,0.6118,CHEMBL3717
Random Forest Classifier,0.8318,0.9177,0.7581,0.7833,0.7705,0.6378,0.6381,CHEMBL1844
Random Forest Classifier,0.8965,0.9238,0.4479,0.8269,0.5811,0.5279,0.5603,CHEMBL1974
Random Forest Classifier,0.839,0.8812,0.3333,0.7273,0.4571,0.3776,0.4173,CHEMBL2007
Random Forest Classifier,0.9266,0.8919,0.5238,0.8462,0.6471,0.6086,0.6305,CHEMBL1913
Random Forest Classifier,0.9068,0.9541,0.8047,0.9196,0.8583,0.7894,0.7933,CHEMBL1862
Random Forest Classifier,0.915,0.9042,0.5926,0.8889,0.7111,0.6636,0.6824,CHEMBL2041
Random Forest Classifier,0.9318,0.9722,0.9444,0.8947,0.9189,0.8602,0.8611,CHEMBL5568
Random Forest Classifier,0.8893,0.9192,0.6457,0.7961,0.713,0.6454,0.6508,CHEMBL2815
Random Forest Classifier,0.8736,0.9109,0.7143,0.75,0.7317,0.6491,0.6494,CHEMBL4898
Random Forest Classifier,0.8696,0.872,0.8,0.8,0.8,0.7032,0.7032,CHEMBL5608
Random Forest Classifier,0.9202,0.9177,0.3333,0.5833,0.4242,0.3848,0.4022,CHEMBL1868
Random Forest Classifier,0.9191,0.9249,0.5085,0.7547,0.6076,0.5644,0.5781,CHEMBL279
Random Forest Classifier,0.8043,0.7837,0.4737,0.5294,0.5,0.3788,0.3798,CHEMBL1955
